kav;iH k;AvyA
durit;A tir;aH
rudr;iyAsaH m;iham
t;Ani t;uByam
kS;ayam daDe
;ojasA v;i
n;ayanti durit;A
te s;a
;avasA y;aTA
y;at asmin
indo v;Aje
pr;a vaH
t;am Ga
h;i prayajyavaH
m;arutaH vIxupAZ;iBiH
gaCati ;astqtaH
vqkt;abarhiSam pr;a-pra
s;am inDate
Biy;A y;AmeSu
;anu yAt;a
yuyota z;avasA
sudAnavaH ;asAmi
r;atnam m;artyaH
j;alASaBeSajam t;at
vqktabarhiSaH kv:a
asan ih;a
sUkt;EH aB;i
;AdityAsaH qt;am
aB;IzavaH ;aCa
santya pr;a
y;AmAya m;AnuSaH
am;qtasya D;Ama
zl;okam Asy:e
;azvaH g;aviSwiSu
eSAm v;izvam
putra m;artyaH
r;aTaH B;uvanAni
p;arvatAn v;i
s;anitA y;at
h;iraZyavAzImattama D;anAni
u Arata
n;araH vart;ayaTa
agn;iH nayat
Dehi zat;asya
parj;anyena udavAh;ena
rudr;aH c;iketati
div;i spqzanti
paT;aH jahi
m;arutaH kv:a
iva v;iSvak
y;Ani dev;AH
itT;A namasv;inaH
DIt;aye nazat
sv;asare n;a
car;aTAya jIv;ase
mitr;aH aryam;A
te dad;Aza
kqZu p;USan
v;ayaH jarit;qByaH
pAh;i r;ISataH
tv;e ;it
UrDv;An car;aTAya
sIdasva mah;An
k;aZvAH aB;i
agn;iH vavne
;A hUyate
gAyata pr;a
rAy;aH pUrDi
m;AnuSAH ;A
y;at v;adAn
naH Ut;iBiH
r;ejate sTir;am
v;izvAni s;OBagA
zr;avaH tuvinqmZ;am
;aDvane p;USan
Danasp;qtam y;am
ut;a tm;anA
tveS;AsaH agn;eH
yATana van;inaH
naH mitr;aH
aG;azaMsasya k;asya
v;izaH ap;aH
jujurv;An iva
r;ohitaH ;A
vaH ;A
m;antram vadati
tv;Am ;it
prayajyavaH k;aZvam
nUn;am kaDapriyaH
arc;ayaH div;i
;aBvaH ;ISate
kqZvanti parj;anyena
aB;i gqZImasi
viDema te
b;qhadBAno y;aviSWya
p;atim agn;im
k;aZvAya biBy;uSe
inDate v;izvam
s;a Datte
k;at ha
paripanT;inam muSIv;AZam
Acak;e pr;a
dad;Aza m;artyaH
UrDv;aH naH
karati ;arvate
parimany;ave ;iSum
asm;e vqdD;AH
v;asu v;izvam
BIm;AsaH n;a
vidaH aB;i
p;USan ih;a
m;A naH
kqZvanti avAt;Am
m;A vaH
z;IBam Az;uBiH
biBy;uSe yuSm;eSitaH
pracetasaH ;asAmiBiH
vaH aznavat
D;Ama svarv;ide
yATa k;am
g;Aya gAyatr;am
n;qByaH y;aTA
naH sup;aTA
y;adum parAv;ataH
mitr;am n;a
t;am paT;aH
sah;a saty;am
Baja y;AH
aG;aH v;qkaH
n;i y;Aman
BAn;avaH dev;AsaH
Ad;idezati ;apa
B;uvat k;aZve
hit;e suv;Iryam
ut;a vA
gAT;apatim meD;apatim
tok;Aya rudr;iyam
dv;iSam ;ut
y;aTA naH
hUyate hav;iH
vqSw;iH ;asarji
n;a h;astayoH
pqTiv;Im vyund;anti
nayat n;avavAstvam
ap;aH ur;u
bAh;utA iva
sy;Atana stot;A
paT;A pr;a
y;avase jarit;A
Gan;A iva
agn;eH ;amavantaH
n;ayaTa naraH
Imahe ;upa
kS;ayAya cakrire
n;apAtam ;amqDram
naH vizvasOBaga
d;akSAya rAy;aH
parAv;ataH zoc;iH
dev;eSu naH
devay;antam aznavat
Bava s;acA
t;asmE ;ixAm
;aCa vIr;am
kr;andat ;azvaH
s;aMgatAni vrat;A
;A zqZ;oti
namasy;anti kqSw;ayaH
;akSiti zr;avaH
turv;azam y;adum
asmin vAj;ini
vivid;e ;aDi
duHz;evaH Ad;idezati
aYj;iBiH ;ajAyanta
venaH AB;USantIH
y;aH vaH
Ut;iBiH g;anta
