z;amIBiH yajY;am
savit;A d;amUnAH
DImahi ;indram
v;irUpe carataH
r;aTe ;indram
ag;astye nAsatyA
p;ari pAsi
vqj;ane pqkS;e
aryamZ;aH m;ahi
pAtaH ;aMhasaH
ca vizv;aBeSajIH
te viSZo
s;Uryasya citr;AH
B;ogam ;Anaw
aBavat arat;iH
p;ari s;adma
im;Ani naH
;atiTim sv:Ahutam
hav;iSA y;ajanti
;okaH n;a
ut;a puSyata
;ahimanyavaH r;odasI
pr;a syandrA
n;a minAti
gur;u v;i
y;onO dev;asya
harivaH ;adAzUn
paZ;eH ;asum
gir;iByaH mahitv;A
dqz;eyam mAt;aram
kSoZ;I sacate
darSi r;ADaH
et;A vrat;A
ut;a z;aMstA
svaD;A y;am
ca naH
;avarAsu DAvate
can;a pr;ati
s;inDavaH ca
m;eDiraH vitt;am
indra meD;asAtaye
viMzat;iH zat;A
aBic;akSe s;UryaH
;aDi bravat
him;ena agn;im
y;aja mah;e
kS;Am v;izveBiH
t;eBiH naH
yAtam z;avIrayA
ut;a manye
papqcAsi DarZas;im
;Iyate pqTivy;Am
upapray;antaH aDvar;am
vih;avyaH t;Am
sady;aH vqdD;aH
vAG;ate spArh;am
v;itatam s;am
mah;AntA s;adasp;atI
ay;am v;AtaH
;aBUt id;am
v;izvA p;UH
varDayAmasi rAy;aH
aBisv;aranti in;aH
r;aTe v;ahanti
y;asya dvib;arhasaH
iva v;izvam
tvA viz;Am
z;ayAnam m;anoH
vAm D;iyaH
;Apa y;at
sah;AvAn indra
n;amaH v;ahantam
;upa sAt;aye
jUryanti pUrvy;A
kqZuDvam agn;iH
hqd;A r;akSamAZAH
s;inDavaH pav;iByaH
y;at r;aTeSu
s;enAH pr;a
vay;unA kqZota
naH mitr;Av;aruZA
ganD;ArIZAm iva
vay;unAni vidv;An
zayutr;A h;iraZyasya
n;u ca
ririce mahitv;A
r;aTam v;qSaZam
br;ahmaZA me
kqZavante UrDv;A
viBAvari vay;am
;azvyaH zqZv;e
tm;anA ;aDArayat
pUrvy;eBiH ;evEH
div;i samudr;e
arv;AcaH suvit;Aya
suz;evaH eDi
