eSAm iSir;AsaH adr;uhaH
naH gqh;am Gqt;am
Im k;e cit
eS;a Diy;A yAti
sut;asya pr;a suvAn;aH
vrat;Ani j;anAnAm t;akSA
iva vqSw;ayaH agn;eH
aps;u duduhAn;aH ;adrO
am;UH yahv;atIH ;ApaH
kS;ipaH n;qBiH soma
r;akSAMsi devay;uH ;A
s;omaH pav;itram ;ati
azvay;A zukr;AsaH vIray;A
vqta t;at v;acaH
aps;u duSw;araH mqjy;amAnaH
Bara suSvAZ;aH dev;avItaye
rakSa naH ;indrAya
soma divy;eSu D;Amasu
soma D;AmaBiH ;agne
m;aDumAn c;AruH mitr;e
div;aH kav;iH v;qSA
jihv;A pavate m;aDu
deva soma p;ari
suk;armaBiH pr;a maDyam;Asu
saD;asTam ;A asadat
barh;iSi prav;Ace ap;Am
ut;a dy;OH aB;i
mat;ayaH p;anipnatam gir;A
tripqSW;aH anaviSwa g;AH
pasty:AnAm y;e vA
d;aDAnaH ;ojasA eS;a
ut;a v;iSZoH brahm;A
Den;uBiH kal;aze s;omaH
kr;andan ihi s;Uryasya
avy;ayA g;oBiH aYjAn;aH
h;i priy;aH m;adaH
asya viz;e m;ahi
ca soma ;atyaH
ca v;qSaZam Barat
avy;ayA h;ariH v;Ajam
ca devy:A ca
Den;avaH p;ayasA Im
k;AvyA B;arate z;UraH
p;ayaH n;a dugD;am
zukr;aH arSa divy;aH
s;arasvatI uB;e dy;AvApqTiv;I
kqZvAn;aH n;a nirZ;ijam
y;atra ;azayat s;amqtA
gAtuv;ittamaH Bava s;anemi
indo indray;uH y;avaM-yavam
Im ;unnItAH yaz;asA
harmy;asya sakS;aZim y;Acante
y;onim s;omaH s;ukqtam
dev;AsaH am;qtAya k;am
varS;ayan dy;Am ut;a
g;omataH punAn;aH indo
Diy;aH asy;AH ;adAByaH
paptima mqjy;amAnaH suhastya
kSit;ayaH h;aste asya
pav;itre matsar;aH m;adaH
v;izvasya rAjasi y;e
s;aKiByaH Ut;aye t;ava
y;aH ;indoH p;avamAnasya
sacante trit;aH biBarti
kAr;am b;iBrat purusp;qham
m;aDumattamAH aB;i v;iprAH
h;i sma jarit;qByaH
pariSicy;amAnaH v;ayaH d;aDat
syAma B;uvaneSu jIv;ase
s;omaH p;ari t;Ani
;asarji v;akvA r;aTye
citr;am ukTy:am divy;am
DiS;aZAByaH tv;am soma
v;AreBiH pavate s;omaH
;indrasya kukS;A pavate
zukr;aH pavasva dev;eByaH
kr;Ixan p;ari v;Aram
d;ame parAv;ataH n;a
g;omantam azv;inam puruzcandr;am
y;onim s;adanam Diy;A
pavasva sahasras;AH vAjay;uH
te m;aDunA p;ayaH
san;aye D;anAnAm v;qSA
;invati p;avamAnaH sahasr;iZam
n;a m;Arutam pavasva
arSati tv;am soma
