nit;ozanam vqSaB;am
y;eSAm z;uSmaH
;indra trAt;A
;aDi zriy;e
zriy;e uS;asaH
dy;Am uS;Asam
v;acoBiH aB;i
;amqktam n;AmAni
s;ukqtA y;A
urv;I s;anti
c;armaZI iva
z;uBam p;qkSam
Bay;A s;ahoBiH
ty;A valg;U
c;umurim D;unim
;adevaH y;at
pratn;A n;avyasA
zuce z;ucayaH
havAmahe y;aH
vAm;asya v;asunaH
praTam;am devay;antaH
vqtr;AZAm san;aye
iS;e p;arijmA
;apa vizv;Ayu
stav;An ;ajrAH
nqZ;Am aBavat
j;anAn ;asamA
itT;A mahim;A
vIra n;u
vidm;a n;a
;aTarvaZaH vqtrah;aZam
s;Uryam nayaTaH
y;A maDyam;A
dAz;uSe m;artyAya
z;atrUn am;itrAn
s;a bqhat;aH
vAm;am gqh;apatim
tqX;A r;akSAMsi
;induBiH s;omeBiH
ha sy;a
p;Arye ;aDa
jajYAn;am s;ahase
v;AryAZAm ;ataH
ary;aH v;azasya
naH yAhi
s;ukqtaH kart;qBiH
;Urjam v;ahantA
n;araH praTam;am
Aj;im n;a
B;uvanasya rodasI
vacasy;A t;am
BAg;aH k;im
j;aramAZaH ark;EH
yajY;asya ket;um
purvaZIka hotar
zar;adaH n;a
v;asAnaH ;atkam
agne sumnAy;avaH
dyum;ataH indra
daB;ItiH iDm;aBqtiH
zAZx;aH dAt
ap;astamA r;aTaH
iS;aH yanDi
puruzAka prayajyo
vqtr;AZi uB;ayAni
agn;im svaDvar;am
mah;IH ap;aH
yAsat ugr;An
mah;aH vraj;An
yukt;AByAm maGavan
aDr;uk tv;e
n;UtanAya ugr;am
v;i mAy;AH
maG;Ani m;AnuSA
;qjyantaH aBUvan
can;a t;am
d;ame-dame sapt;a
div;aH ;A
hv;ayAmasi tvA
pr;ati DAt
y;aH v;izvA
aB;i pUrt;im
z;avoBiH s;aH
draviZasy;uH vipany;ayA
h;otA mandr;atamaH
nqto iSir;aH
g;AvaH n;a
pAtu triSaD;asTA
;avase n;UtanAya
d;azamAyam d;azoZim
niS;adi s;at
puruhUt;am asm;e
qt;AvA dUr;At
urv;I mahin;A
t;at ErayeTAm
te ih;a
t;ava pratn;ena
vaH mandr;am
vAm dy;OH
n;a sIm
jan;uSA ;ajma
ark;aH indra
areZ;uBiH y;ojaneBiH
sAvIH vAm;asya
asm;e Bavatam
mar;utAm tat;akSa
y;at ;apaspqDeTAm
v;aMsAma p;qtanAsu
y;uyUSataH p;ari
stum;asi z;aMsat
j;ane s;a
riSyati n;a
p;ayasA m;A
mahitv;A ;A
vratap;AH arakSata
c;iketat am;qtasya
vaste s;UryaH
duhitar iSay;aDyE
punAn;AsaH ;qjyantaH
y;asmin tv;e
DAvan vqtrah;aZam
v;izvA ;ati
y;at ;ejAn
yajY;AsaH im;e
naH v;AjavatIH
v;izvam ;anu
s;adam ;A
y;at samudr;am
dyumaH purvaZIka
vAj;inA p;iba
k;im t;e
jy;otiSA t;amaH
y;aH m;AnuSA
ajatu ;A
astu yuv;am
div;aH rocan;A
ukT;eBiH s;a
vizv;ataH zoc;iSA
tvA puruSwuta
arujat s;Anu
niv;ezane prasav;e
s;a puSyati
br;ahmAZi zqZavaH
v;asyAn ay;am
z;uci mat;ayaH
yamyAH t;am
divy;am suvqkt;im
B;uvat nemAnAm
hariyUp;IyAyAm h;an
r;uzantaH g;AvaH
s;omArudrA DAr;ayeTAm
m;AsAH zar;adaH
r;Ajani tv;e
asmE hav;iSA
v;i BAhi
yanti sAD;u
atr;iZam agn;iH
adamAyaH d;asyUn
Cand;aH B;anati
tv;e s;u
caSwe muSwih;A
v;izvA h;avanA
arirecIt k;im
zUzuv;AMsam sady;aH
pAvak;aH ;aznasya
rAy;aH D;ArA
iva zUS;am
p;uraMDim savit;Aram
mah;Antam aB;i
;A atAn
t;aturiH vIr;aH
dqX;A DqSat;A
dAt Bar;advAjAya
ket;um janayanta
z;ikSan dvay;An
v;asUni purvaZIka
t;at ukT;am
d;akSasya biBy;uSaH
im;am yajY;am
;arDe Biy;asA
raDrat;uraH baBUva
tv;otAH ;A
;avase mqDAti
y;aH naH
gqZ;antam indra
maGavattv;asya vidm;a
savit;A d;amUnAH
priy;am ;aTa
Gqt;ena pAZ;I
dadD;i sUno
n;a drAvayati
;aSwrA g;oopazA
pr;a h;otA
kSatt;A vAm;asya
p;USan d;AnAya
indra pAhi
