h;astayoH Ad;aDAnaH
pUy;amAnaH dev;aH
priy;e sadaH
hit;aH ;induH
dv;AraH dev;IH
y;e ;anti
;apracetasaH t;am
;A t;u
Diy;aH s;a
avIvazat y;aH
m;adeSu ;A
matsar;am eS;a
;Ize y;aH
kqZv;an samIcIn;e
v;asAnaH v;aruZaH
naH tv;am
daDuH ;indum
v;iprasya D;ArayA
p;Atave n;qBiH
aB;i sp;qDaH
soma tasTire
;anu praB;USataH
asadat zuBr;am
ca punat;e
pav;itram Az;avaH
mad;intamasya D;ArayA
g;oH apIcy:am
soma kr;atve
p;avamAnaH v;icarSaZiH
j;anasya g;opatim
ajy;amAnaH s;ome
sicyate m;aDu
;adriBiH ;indram
yuyoDi naH
z;arma vIr;avat
v;izvam ;Aryam
pIt;aye sut;aH
gaCantu vaH
Buvat ukT;am
ay;am punAn;aH
;arvate z;am
iva m;aDumAn
ary;aH ;A
naBasm;ayam s;Uryasya
srava ;upa
;indram s;omaH
naH h;iraZyA
darzat;AsaH jigatn;avaH
t;am s;ome
;indram vqtr;Aya
m;AnuSA yug;A
varivasya punAn;aH
h;i s;a
s;a ady;a
agriy;aH v;AcaH
nirZ;ik avy;ayI
p;ari ;indo
g;oBiH akt;am
kS;arantaH parvatAv;qDaH
samudr;am ;A
ark;EH k;anikradat
s;omaH mIXv;An
indo p;avamAnaH
B;areSu jigy;uSAm
;it r;AjAnam
Im haMs;aH
DAvati ;A
s;anemi tv;am
dyum;antam tvA
viroc;ayan ay;am
mqz;ase p;avase
daz;aBiH jAm;iBiH
diviy;ajaH mandr;atamAH
ukTy:am mah;Amahivratam
sUr;iSu zr;avaH
aB;i n;aram
j;aVGnataH h;areH
arAtIv;A m;A
zukr;AsaH ;indavaH
dev;avItim p;ari
y;am tvA
v;aruZasya D;armaZA
sut;aH Gqt;am
te ;AzvinIH
;agne ;AyUMSi
sapt;a DIt;iBiH
y;at g;arBaH
;anu j;anAn
c;ekitat s;am
jaW;are viza
h;Ardi codaya
nimn;ena iva
mitr;am m;atsi
b;ADase soma
s;an z;azvat
camv:oH br;ahma
iyarti vAy;uBiH
v;izveBiH aMz;uBiH
sy;a v;qSA
it;aH usr;iyaH
;ati t;An
p;uraMDyA ;ajIjanaH
y;at s;iSAsati
p;avamAnasya j;aVGnataH
vAvqD;uH t;AH
m;eDiraH svaD;ayA
g;ave dev;eByaH
itT;A pad;am
v;Aram n;a
nqmZ;A punAn;aH
s;am tr;I
D;ArAH k;armaZA
ray;im n;i
kav;iH m;ahi
praty;aV s;a
v;Ajin s;argAH
m;adAya sah;asraDAraH
k;anikradat v;qSA
yat;aH aB;i
p;ArTivA p;avatAm
viveda n;ihitam
y;AH ;ekam
jUt;aH purum;eDaH
zr;iyam v;ayaH
svAyuD;aH pavate
rocaya r;ucaH
;upAvasuH ;A
n;a dugD;am
indriy;Aya vanv;an
;arvatAm iva
hinvAn;aH janit;A
;indraH p;ibAt
zoBate ukS;A
zuBAyate ;aDi
t;uByam g;AvaH
k;anikradat t;anUn;apAt
v;izvAni v;AryA
pratn;AH qZvanti
;A d;akSiZA
adaDAvat ;arvA
vAjay;antaH r;aTAH
b;qhasp;atiH s;UryaH
v;AjAya mqjyate
c;Arum ;ajIjanan
B;avaTaH ;anapacyutA
jAm;iH ;atke
y;oSAm aB;i
y;aH ;induH
s;inDoH Urm;O
vats;aH iva
dUr;e vA
asarat cam;USu
;adriBiH tir;aH
siSAsati eS;a
cakradat v;ane
p;ayaH ay;am
Ay;avaH punAn;aH
sar;aTam r;ADaH
;apa tv;Am
b;alam d;aDAnaH
pavamAna codaya
Den;uBiH kal;aze
v;ipraH vicakSaZ;aH
zuBr;AH asqgram
asmE gAyata
vipazc;itaH ap;Am
avyata t;ava
parAv;ataH n;a
d;aza marmqjy;ante
soma rakS;asaH
;anapacyutaH ray;im
dev;eSu dev;aH
nAv;AH anUSata
sakS;aZiH dviS;aH
;A ruja
aBizrIZ;an p;ayaH
Aj;O pracet;ayan
aMz;um duhanti
;arpitaH tv;am
BuriS;Aw ayoji
draps;aH vAvqDe
n;a pr;a
kave v;Ajin
Den;avaH p;avamAna
madir;aH m;adAya
svaD;A ca
soma mqxaya
s;adanAni ;aCa
v;asAnaH ;arSati
ah;am n;aktam
sut;aH rakSoh;A
